CD_auc,HYP_auc,MI_auc,NORM_auc,STTC_auc,macro_auc,n,seed,subgroup,variant
0.905455585604327,0.9027781271749977,0.9164272275133819,0.9422645314482114,0.9184232416551626,0.9170697426792163,1066,2024,sex_male,none
0.9276988661029016,0.9128793788773728,0.9320833081312123,0.9561122017517366,0.9441986198358698,0.9345944749398185,1132,2024,sex_female,none
0.8537450921171851,0.9492878722485973,0.9733260751224824,0.8927379893238434,0.9659995177236556,0.9270193093071526,345,2024,age_lt45,none
0.9020885898514158,0.909700722394221,0.9172008547008547,0.9299242424242424,0.9460485133020344,0.9209925845345536,703,2024,age_45_65,none
0.9250820964869737,0.8908712718855264,0.9026708022466259,0.9506805936288873,0.9088713080168777,0.9156352144529782,1150,2024,age_gt65,none
0.9450856743376468,0.9164031203879401,0.937955298617498,0.9546566823667942,0.9345861561119293,0.9377373863643618,660,2024,meta_complete,none
0.9057054099994138,0.9009524673439767,0.9220468807481866,0.9492416870057262,0.9326434418279862,0.922117977385058,1538,2024,meta_incomplete,none
0.9096941959642189,0.9106018297233612,0.9116821998259509,0.9431391469968522,0.921777105235213,0.9193788955491191,1066,2025,sex_male,none
0.9261143621177655,0.9081912403878302,0.9354140204439605,0.9534569113057486,0.9498324362750076,0.9346017941060625,1132,2025,sex_female,none
0.8545001510117789,0.9507984462667242,0.9885683179096353,0.8981316725978649,0.965758379551483,0.9315513934674972,345,2025,age_lt45,none
0.9023689374824783,0.9187442289935365,0.9148777579010137,0.9269363897596655,0.9495565988523735,0.9224967825978135,703,2025,age_45_65,none
0.9281697388831915,0.8880432824331629,0.9023388381255762,0.9493769102309607,0.9140611814345992,0.9163979902214981,1150,2025,age_gt65,none
0.9416615542651695,0.9142069013985522,0.9452692740040001,0.9562665587282897,0.9362709867452136,0.9387350550282451,660,2025,meta_complete,none
0.9091143543754763,0.9048847968069667,0.920239358478449,0.9473959932486465,0.9369059626799086,0.9237080931178895,1538,2025,meta_incomplete,none
0.9120033284793011,0.9107024561226971,0.9142443203088157,0.9415995345021378,0.9229098085023538,0.920291889583061,1066,2026,sex_male,none
0.9275556095782181,0.9136892157955349,0.9310711909514305,0.9539130927212323,0.9468728691842331,0.9346203956461296,1132,2026,sex_female,none
0.8526880096647539,0.9633146309883469,0.9692433315187806,0.8977980427046263,0.9599710634193392,0.9286030156591693,345,2026,age_lt45,none
0.9057471264367816,0.918391179186356,0.9204432518386007,0.9273037486938349,0.9459963484611371,0.9235763309233421,703,2026,age_45_65,none
0.9306465167765606,0.8913134864524018,0.8979830664766535,0.9496014116016005,0.9158544303797469,0.9170797823373927,1150,2026,age_gt65,none
0.9467263985390421,0.9186520486330733,0.9412108205959211,0.9547026788342655,0.93519882179676,0.9392981536798123,660,2026,meta_complete,none
0.9096207725221264,0.9070618650217706,0.9193589888082475,0.9474306867403209,0.9366150056251697,0.924017463743527,1538,2026,meta_incomplete,none
0.9102922820886207,0.9087318558023697,0.9137192557696329,0.9406743213597741,0.9190205656436939,0.9184876561328181,1066,2027,sex_male,none
0.9266049071871363,0.9123741595155839,0.93574870461098,0.954422757475083,0.9482801143205327,0.9354861286218632,1132,2027,sex_female,none
0.8474781032920569,0.9613724643936123,0.9776810016330975,0.8998554270462634,0.9639498432601881,0.9300673679250437,345,2027,age_lt45,none
0.9107232968881414,0.9122263863994351,0.9234993043132579,0.9287405303030303,0.9472352634324466,0.9244849562672623,703,2027,age_45_65,none
0.9266370243124071,0.8920286729741386,0.9011283426942744,0.9473879068595015,0.9121554149085794,0.9158674723497802,1150,2027,age_gt65,none
0.9472542837168824,0.9191615714386112,0.939225390151681,0.9520532823079187,0.9355051546391753,0.9386399364508538,660,2027,meta_complete,none
0.9074333274720122,0.9043994920174165,0.9225083305511668,0.9479632318375235,0.9343576638088219,0.9233324091373882,1538,2027,meta_incomplete,none
0.906682962346578,0.9096374933963925,0.9147742465566948,0.9421127386670426,0.9189851686665959,0.9184385219266608,1066,2028,sex_male,none
0.927855145948011,0.9107916341617445,0.9354825702131091,0.9546303986710963,0.9458138084115539,0.9349147114811031,1132,2028,sex_female,none
0.857897916037451,0.9615882606819163,0.9703320631464344,0.8961298932384342,0.959127079816735,0.9290150425841942,345,2028,age_lt45,none
0.8964816372301654,0.9107055564608113,0.9229402703239913,0.9304793625914316,0.9498435054773082,0.9220900664167416,703,2028,age_45_65,none
0.9298098175181132,0.8897357085533032,0.9020269930421662,0.9483016668242116,0.9090506329113924,0.9157849637698373,1150,2028,age_gt65,none
0.9440156368149977,0.9192318504462716,0.9443495525482124,0.9554846187812776,0.9321237113402062,0.9390410739861931,660,2028,meta_complete,none
0.9079913252447103,0.9025580551523946,0.9217385387139373,0.9477134386974675,0.9348692632967374,0.9229741242210494,1538,2028,meta_incomplete,none
0.9101154566257541,0.9044468482973176,0.9179586657526653,0.9429692836464962,0.9189586209337722,0.9188897750512011,1066,2029,sex_male,none
0.930459810033166,0.90936513243434,0.9363091997822538,0.9553948958018725,0.9513315633961515,0.9365721202895567,1132,2029,sex_female,none
0.844155844155844,0.9600776866637895,0.9866630375612412,0.8991881672597866,0.96684350132626,0.9313856473933843,345,2029,age_lt45,none
0.9046537706756379,0.9063874857422193,0.9234247664480223,0.9287650208986415,0.9516953573291601,0.9229852802187363,703,2029,age_45_65,none
0.9327234560862466,0.8883217138271214,0.9045251068823874,0.9501685729590068,0.9119127988748242,0.9175303297259173,1150,2029,age_gt65,none
0.9491803512576508,0.9146812847002601,0.9455174528095301,0.9588883573741538,0.9344094256259204,0.9405353743535031,660,2029,meta_complete,none
0.9097942676279234,0.9007755805515238,0.9243583827566629,0.9475451752628465,0.9376866974434573,0.9240320207284828,1538,2029,meta_incomplete,none
0.9096265862284169,0.9086480004695899,0.9066795015776244,0.9373457225155679,0.9196001911436763,0.9163800003869751,1066,2030,sex_male,none
0.9248293945024224,0.9104870166053717,0.9305792455493055,0.9545202859156348,0.942926779729867,0.9326685444605204,1132,2030,sex_female,none
0.8607671398369072,0.955114372032801,0.9733260751224823,0.8753336298932385,0.9496021220159152,0.922828667780269,345,2030,age_lt45,none
0.9036865713484721,0.9198305360925534,0.9146292983502285,0.9295405564263323,0.9459311424100156,0.9227236209255205,703,2030,age_45_65,none
0.9260631819006401,0.8893808450119836,0.8949417386201693,0.9482859123420613,0.9111251758087201,0.9139593707367147,1150,2030,age_gt65,none
0.9432880112995962,0.8977616136060159,0.9357946831340604,0.9558249926405651,0.9302974963181148,0.9325933593996705,660,2030,meta_complete,none
0.9083734833831547,0.9136520319303338,0.9169773124057697,0.9447419411355527,0.9338436396787834,0.9235176817067188,1538,2030,meta_incomplete,none
0.9054347826086957,0.9059394732207995,0.9152895876784857,0.9420657551871569,0.9206355527237974,0.917873030283787,1066,2031,sex_male,none
0.927225685460765,0.9109625171811732,0.935712413556725,0.9555459075807913,0.9489716471538346,0.9356836341866579,1132,2031,sex_female,none
0.8442313500453035,0.9527406128614588,0.9787697332607512,0.8904581850533808,0.959850494333253,0.9252100751108294,345,2031,age_lt45,none
0.906574151948416,0.9123350171093367,0.9205674816139933,0.9315814393939393,0.9510172143974961,0.9244150608926363,703,2031,age_45_65,none
0.9249673280046203,0.8896046820149698,0.9045016346718082,0.9505781894949114,0.913146976090014,0.9165597620552648,1150,2031,age_gt65,none
0.944329514488308,0.9192494201981868,0.9430210660009635,0.9588791580806594,0.9334550810014728,0.9397868479539181,660,2031,meta_complete,none
0.9067323134634546,0.899827648766328,0.9230654727096034,0.9473821158519768,0.9375775885479304,0.9229170278678588,1538,2031,meta_incomplete,none
0.9034064905346371,0.9016628512490252,0.9132622551521957,0.9421994773991391,0.9186931436055361,0.9158448435881066,1066,2032,sex_male,none
0.9237180711594227,0.9077528882945132,0.9344301296397104,0.9537494966274037,0.9502386513658982,0.9339778474173898,1132,2032,sex_female,none
0.8445333736031411,0.949719464825205,0.9771366358192706,0.9000222419928825,0.9666023631540873,0.9276028158789174,345,2032,age_lt45,none
0.8978693580039249,0.9138830047254358,0.9177598886901214,0.9306589602925809,0.948435054773083,0.9217212532970291,703,2032,age_45_65,none
0.9255004461161976,0.8832389760276029,0.902449492832593,0.9486994674985033,0.9119479606188468,0.9143672686187487,1150,2032,age_gt65,none
0.9433736143014081,0.9113254620844754,0.9426706959225682,0.9556134088901972,0.9378851251840942,0.9381736612765487,660,2032,meta_complete,none
0.9032202098352969,0.899310595065312,0.9205753449709415,0.947087221172744,0.9349565504131591,0.9210299842914906,1538,2032,meta_incomplete,none
0.9094341585188267,0.9035495962365727,0.9087846214430524,0.939319028670765,0.920401047750522,0.9162976905239478,1066,2033,sex_male,none
0.9230365173904738,0.905434822987481,0.9367245307365066,0.9521009513742071,0.9482220835932627,0.9331037812163862,1132,2033,sex_female,none
