CD_auc,HYP_auc,MI_auc,NORM_auc,STTC_auc,condition,macro_auc,macro_auprc,macro_brier,macro_ece,n_test,seed,variant,w_fused
0.9163495981956712,0.9075866664563749,0.9248201676963812,0.9493334342325981,0.9331705804053257,normal,0.9262520893972702,0.816054495221065,0.09750916628772228,0.07622570816342886,2198,2024,none,1.0
0.9163495981956712,0.9075866664563749,0.9248201676963812,0.9493334342325981,0.9331705804053257,shuffle_val,0.9262520893972702,0.816054495221065,0.09750916628772228,0.07622570816342886,2198,2024,none,1.0
0.9163495981956712,0.9075866664563749,0.9248201676963812,0.9493334342325981,0.9331705804053257,mask_only,0.9262520893972702,0.816054495221065,0.09750916628772228,0.07622570816342886,2198,2024,none,1.0
0.9163495981956712,0.9075866664563749,0.9248201676963812,0.9493334342325981,0.9331705804053257,none,0.9262520893972702,0.816054495221065,0.09750916628772228,0.07622570816342886,2198,2024,none,1.0
0.917589837382965,0.9093649454293105,0.9246855692850839,0.9484051609973891,0.9370620006249163,normal,0.9274215027439329,0.820943872340694,0.09906236820170404,0.08251593791907078,2198,2025,none,1.0
0.917589837382965,0.9093649454293105,0.9246855692850839,0.9484051609973891,0.9370620006249163,shuffle_val,0.9274215027439329,0.820943872340694,0.09906236820170404,0.08251593791907078,2198,2025,none,1.0
0.917589837382965,0.9093649454293105,0.9246855692850839,0.9484051609973891,0.9370620006249163,mask_only,0.9274215027439329,0.820943872340694,0.09906236820170404,0.08251593791907078,2198,2025,none,1.0
0.917589837382965,0.9093649454293105,0.9246855692850839,0.9484051609973891,0.9370620006249163,none,0.9274215027439329,0.820943872340694,0.09906236820170404,0.08251593791907078,2198,2025,none,1.0
0.9195017247261286,0.912192054129077,0.9233362753751104,0.9479107546003759,0.9363443769550094,normal,0.9278570371571403,0.8177620533339975,0.09812603512257495,0.07829451882602415,2198,2026,none,1.0
0.9195017247261286,0.912192054129077,0.9233362753751104,0.9479107546003759,0.9363443769550094,shuffle_val,0.9278570371571403,0.8177620533339975,0.09812603512257495,0.07829451882602415,2198,2026,none,1.0
0.9195017247261286,0.912192054129077,0.9233362753751104,0.9479107546003759,0.9363443769550094,mask_only,0.9278570371571403,0.8177620533339975,0.09812603512257495,0.07829451882602415,2198,2026,none,1.0
0.9195017247261286,0.912192054129077,0.9233362753751104,0.9479107546003759,0.9363443769550094,none,0.9278570371571403,0.8177620533339975,0.09812603512257495,0.07829451882602415,2198,2026,none,1.0
0.9183408513703043,0.9103211153870417,0.9257634598411297,0.9476500981665762,0.9350075596560443,normal,0.9274166168842193,0.8182606860791921,0.09966836208296467,0.08084932794210505,2198,2027,none,1.0
0.9183408513703043,0.9103211153870417,0.9257634598411297,0.9476500981665762,0.9350075596560443,shuffle_val,0.9274166168842193,0.8182606860791921,0.09966836208296467,0.08084932794210505,2198,2027,none,1.0
0.9183408513703043,0.9103211153870417,0.9257634598411297,0.9476500981665762,0.9350075596560443,mask_only,0.9274166168842193,0.8182606860791921,0.09966836208296467,0.08084932794210505,2198,2027,none,1.0
0.9183408513703043,0.9103211153870417,0.9257634598411297,0.9476500981665762,0.9350075596560443,none,0.9274166168842193,0.8182606860791921,0.09966836208296467,0.08084932794210505,2198,2027,none,1.0
0.9173884613926689,0.9097829001324839,0.9262963371579878,0.9485405341775238,0.9339076611763305,normal,0.9271831788073989,0.8171971847896415,0.09903764798208814,0.08069459685731993,2198,2028,none,1.0
0.9173884613926689,0.9097829001324839,0.9262963371579878,0.9485405341775238,0.9339076611763305,shuffle_val,0.9271831788073989,0.8171971847896415,0.09903764798208814,0.08069459685731993,2198,2028,none,1.0
0.9173884613926689,0.9097829001324839,0.9262963371579878,0.9485405341775238,0.9339076611763305,mask_only,0.9271831788073989,0.8171971847896415,0.09903764798208814,0.08069459685731993,2198,2028,none,1.0
0.9173884613926689,0.9097829001324839,0.9262963371579878,0.9485405341775238,0.9339076611763305,none,0.9271831788073989,0.8171971847896415,0.09903764798208814,0.08069459685731993,2198,2028,none,1.0
0.9200099029604639,0.9069242476815342,0.9282060900264785,0.9494292885340597,0.9367152064112293,normal,0.9282569471227532,0.8209166191335273,0.0956076532378027,0.07579465831825608,2198,2029,none,1.0
0.9200099029604639,0.9069242476815342,0.9282060900264785,0.9494292885340597,0.9367152064112293,shuffle_val,0.9282569471227532,0.8209166191335273,0.0956076532378027,0.07579465831825608,2198,2029,none,1.0
0.9200099029604639,0.9069242476815342,0.9282060900264785,0.9494292885340597,0.9367152064112293,mask_only,0.9282569471227532,0.8209166191335273,0.0956076532378027,0.07579465831825608,2198,2029,none,1.0
0.9200099029604639,0.9069242476815342,0.9282060900264785,0.9494292885340597,0.9367152064112293,none,0.9282569471227532,0.8209166191335273,0.0956076532378027,0.07579465831825608,2198,2029,none,1.0
0.9171373336871234,0.9092959434735979,0.919680052956752,0.9462122836446496,0.932791739201595,normal,0.9250234705927436,0.811213964636071,0.10363460960974993,0.0923530616721151,2198,2030,none,1.0
0.9171373336871234,0.9092959434735979,0.919680052956752,0.9462122836446496,0.932791739201595,shuffle_val,0.9250234705927436,0.811213964636071,0.10363460960974993,0.0923530616721151,2198,2030,none,1.0
0.9171373336871234,0.9092959434735979,0.919680052956752,0.9462122836446496,0.932791739201595,mask_only,0.9250234705927436,0.811213964636071,0.10363460960974993,0.0923530616721151,2198,2030,none,1.0
0.9171373336871234,0.9092959434735979,0.919680052956752,0.9462122836446496,0.932791739201595,none,0.9250234705927436,0.811213964636071,0.10363460960974993,0.0923530616721151,2198,2030,none,1.0
0.91667653803874,0.90803813639518,0.9264883053839363,0.9489979441774818,0.9363695567329009,normal,0.9273140961456479,0.817577142156298,0.096676274917825,0.07255354038252494,2198,2031,none,1.0
0.91667653803874,0.90803813639518,0.9264883053839363,0.9489979441774818,0.9363695567329009,shuffle_val,0.9273140961456479,0.817577142156298,0.096676274917825,0.07255354038252494,2198,2031,none,1.0
0.91667653803874,0.90803813639518,0.9264883053839363,0.9489979441774818,0.9363695567329009,mask_only,0.9273140961456479,0.817577142156298,0.096676274917825,0.07255354038252494,2198,2031,none,1.0
