CD_auc,CD_auprc,CD_brier,CD_ece,CD_prevalence,HYP_auc,HYP_auprc,HYP_brier,HYP_ece,HYP_prevalence,MI_auc,MI_auprc,MI_brier,MI_ece,MI_prevalence,NORM_auc,NORM_auprc,NORM_brier,NORM_ece,NORM_prevalence,STTC_auc,STTC_auprc,STTC_brier,STTC_ece,STTC_prevalence,macro_auc,macro_auprc,macro_brier,macro_ece,n_test,probability_key,seed,variant
0.9163495981956712,0.830450112738965,0.09508215257431656,0.07594324642701192,0.2256596906278435,0.9075866664563749,0.6768152609901088,0.08918641537288224,0.08685568330751185,0.1191992720655141,0.9248201676963812,0.8273370270318685,0.10330902574818818,0.06293473097429027,0.2502274795268426,0.9493334342325981,0.9288964474847399,0.10073280123632264,0.07584755851628856,0.4381255686988171,0.9331705804053257,0.8167736278596421,0.09923543642234493,0.07954732030541,0.2370336669699727,0.9262520893972702,0.816054495221065,0.09750916627081091,0.07622570790610252,2198,P_blend,2024,none
0.917589837382965,0.829857756965786,0.10112344026111489,0.09607730389408384,0.2256596906278435,0.9093649454293105,0.6827814881925008,0.09200007653424692,0.0959757257617898,0.1191992720655141,0.9246855692850839,0.8318332746185124,0.10852887016532668,0.0789020371816319,0.2502274795268426,0.9484051609973891,0.9275241394452656,0.09969450649708488,0.0696831566170047,0.4381255686988171,0.9370620006249163,0.8327226016246072,0.09396494896551186,0.07194146640490912,0.2370336669699727,0.9274215027439329,0.8209438521693343,0.09906236848465703,0.08251593797188388,2198,P_blend,2025,none
0.9195017247261287,0.829648282113546,0.0966668356482386,0.08197027277281918,0.2256596906278435,0.912192054129077,0.6849259815028538,0.09235099758336368,0.09404483602622937,0.1191992720655141,0.9233362753751104,0.8245893277449658,0.10109906458417545,0.05444286692776135,0.2502274795268426,0.9479107546003759,0.9270741468999782,0.10240381481197132,0.07849681465406282,0.4381255686988171,0.9363443769550094,0.8225725284086444,0.09810946373936881,0.08251780304330716,0.2370336669699727,0.9278570371571403,0.8177620533339975,0.09812603527342356,0.07829451868483597,2198,P_blend,2026,none
0.9183408513703043,0.8310473417605359,0.09798761855131105,0.0815134136056764,0.2256596906278435,0.9103211153870417,0.6779019321366803,0.09644853562483792,0.10396538514553927,0.1191992720655141,0.9257634598411297,0.8316913666833156,0.10312111859367075,0.06412416308776002,0.2502274795268426,0.9476500981665762,0.9282954588908133,0.1041762715210794,0.07639466097266281,0.4381255686988171,0.9350075596560443,0.8223673309246159,0.09660826578049429,0.07824902105428197,0.2370336669699727,0.9274166168842193,0.8182606860791921,0.09966836201427867,0.0808493287731841,2198,P_blend,2027,none
0.9173884613926689,0.8307955094467898,0.09523526601214896,0.0745156905813647,0.2256596906278435,0.9097829001324839,0.6811332910089782,0.09775788579327735,0.10864096900222547,0.1191992720655141,0.9262963371579878,0.8294939466072603,0.10284103780482678,0.06309074907747161,0.2502274795268426,0.9485405341775238,0.9273017918148471,0.09995227894868815,0.07193467922118794,0.4381255686988171,0.9339076611763306,0.8172613850703317,0.09940177223497906,0.08529089598015874,0.2370336669699727,0.9271831788073989,0.8171971847896415,0.09903764815878406,0.08069459677248168,2198,P_blend,2028,none
0.9200099029604639,0.8393132297282364,0.09145250177896862,0.06979510263412526,0.2256596906278435,0.9069242476815342,0.6741519139426592,0.0839447477279725,0.07946730899866047,0.1191992720655141,0.9282060900264785,0.8355035238274726,0.10171781033667693,0.06729495988763134,0.2502274795268426,0.9494292885340597,0.9291503167191197,0.0982644057280145,0.06673424805037051,0.4381255686988171,0.9367152064112293,0.8264641114501484,0.10265880314958219,0.09568167266954435,0.2370336669699727,0.9282569471227532,0.8209166191335273,0.09560765374424295,0.07579465844806639,2198,P_blend,2029,none
0.9171373336871234,0.8252626952626185,0.10378929732126381,0.10180963487834677,0.2256596906278435,0.9092959434735979,0.6721239599426412,0.09604245591398086,0.10474928755382047,0.1191992720655141,0.919680052956752,0.8166281591422493,0.11684720394050035,0.1005915340063801,0.2502274795268426,0.9462122836446496,0.9250841512655322,0.09415671637403107,0.04296169397532332,0.4381255686988171,0.932791739201595,0.8169708575673135,0.10733737306732213,0.11165315942724703,0.2370336669699727,0.9250234705927436,0.811213964636071,0.10363460932341964,0.09235306196822354,2198,P_blend,2030,none
0.91667653803874,0.8299198120122375,0.09410122133938034,0.06921176226538729,0.2256596906278435,0.90803813639518,0.6707580093359687,0.08860149165136459,0.08359663932753578,0.1191992720655141,0.9264883053839363,0.8334540760538899,0.10285289809771724,0.06156898771755331,0.2502274795268426,0.9489979441774818,0.9308965072081827,0.10150944466493365,0.07374499150258487,0.4381255686988171,0.9363695567329009,0.8228573061712107,0.0963163212011318,0.07464532229428324,0.2370336669699727,0.9273140961456479,0.817577142156298,0.09667627539090552,0.0725535406214689,2198,P_blend,2031,none
0.9140586501648914,0.8277488233859811,0.0997020506693637,0.08499654717126891,0.2256596906278435,0.9047220995520787,0.6680038505049383,0.0848585982700798,0.0780425035489736,0.1191992720655141,0.9250353045013238,0.8322943285053185,0.10288218774182216,0.06240091272472757,0.2502274795268426,0.9482655836812256,0.9281496599706052,0.101777913558864,0.0757921325781247,0.4381255686988171,0.9358693947811476,0.8256778264247077,0.09908349474016562,0.08064181771617182,0.2370336669699727,0.9255902065361334,0.8163748977583101,0.09766084899605906,0.07637478274785332,2198,P_blend,2032,none
0.9158461582199309,0.8268458497992943,0.09758306978904846,0.08187757827067944,0.2256596906278435,0.9042903444577629,0.6625739213392221,0.09890640738958792,0.09928408698622038,0.1191992720655141,0.9241394527802295,0.8280165367013811,0.09773079290379448,0.04978265560357836,0.2502274795268426,0.945826343957185,0.9242574870639072,0.1139355609608607,0.10062020200086749,0.4381255686988171,0.9357526521745599,0.8215316047979504,0.09664702545853451,0.07773269114392038,0.2370336669699727,0.9251709903179337,0.8126450799403511,0.10096057130036522,0.0818594428010532,2198,P_blend,2033,none
