auc_max,auc_mean,auc_min,auc_n,auc_std,auprc_max,auprc_mean,auprc_min,auprc_n,auprc_std,brier_max,brier_mean,brier_min,brier_n,brier_std,class,ece_max,ece_mean,ece_min,ece_n,ece_std,n_runs,prevalence_max,prevalence_mean,prevalence_min,prevalence_n,prevalence_std,variant
0.9505341354824877,0.94806199839402,0.9455555975969158,20,0.0013051071271003825,0.9308965072081827,0.9277287039729893,0.9239908523162289,20,0.0019524639022331773,0.1139355609608607,0.10207946522570233,0.09415671637403107,20,0.0042954062399588825,NORM,0.10062020200086749,0.07424616242583765,0.041475901186240866,20,0.013642224497826268,20,0.4381255686988171,0.4381255686988171,0.4381255686988171,20,0.0,none
0.9282060900264785,0.9244946491615179,0.919680052956752,20,0.002184780069040364,0.8355035238274726,0.8288244670563618,0.8166281591422493,20,0.004918840301944651,0.11684720394050035,0.10437722282122133,0.09773079290379448,20,0.004612871895099652,MI,0.1005915340063801,0.06625323164662712,0.04936343577194767,20,0.013263568057687978,20,0.2502274795268426,0.25022747952684266,0.2502274795268426,20,5.695323946259567e-17,none
0.938705553400014,0.9354838580455684,0.932791739201595,20,0.001434714232763942,0.8327226016246072,0.8226114305875802,0.8167736278596421,20,0.004262970299554181,0.10733737306732213,0.09852350510057838,0.09297549179975886,20,0.0033177932398835448,STTC,0.11165315942724703,0.08271833495270142,0.07154742557063512,20,0.009222430877215285,20,0.2370336669699727,0.23703366696997272,0.2370336669699727,20,2.8476619731297836e-17,none
0.9219383742087108,0.9179441998976536,0.9140586501648914,20,0.0021901144267188794,0.8393132297282364,0.8306396308096126,0.8252626952626185,20,0.0035708520559580557,0.10378929732126381,0.09538346520887786,0.08882310965322007,20,0.003666356927965333,CD,0.10180963487834677,0.07677771078459425,0.06171256499047716,20,0.01012759724831164,20,0.2256596906278435,0.22565969062784347,0.2256596906278435,20,2.8476619731297836e-17,none
0.9138086713772002,0.9093417804870354,0.9042903444577629,20,0.0023931543180644253,0.6887525969923917,0.6779545404464223,0.6625739213392221,20,0.0063861573220765225,0.09890640738958792,0.0903915718044018,0.08255181086920343,20,0.004616152782926951,HYP,0.10864096900222547,0.09116331601817877,0.07645680412874602,20,0.009370163926578775,20,0.1191992720655141,0.1191992720655141,0.1191992720655141,20,0.0,none
0.9502944997288331,0.9486231034091338,0.9466099949129955,20,0.001125018817085542,0.931016166141307,0.9264660861742569,0.9210794304618509,20,0.0029707919967870413,0.10715067412734852,0.10128477937748848,0.09318490277449418,20,0.0036923257940974764,NORM,0.08988594123910967,0.07569673255957057,0.04654242262047635,20,0.010449609682798547,20,0.4381255686988171,0.4381255686988171,0.4381255686988171,20,0.0,demo
0.9305825242718447,0.9265247958958517,0.9216890997352162,20,0.002530767659803172,0.8424171138557596,0.8326161050054777,0.8216583396980577,20,0.00551386009955188,0.10909025860950791,0.10229021303634096,0.09511535703930298,20,0.003311305288280017,MI,0.08451693515139756,0.06310296865829135,0.047431931284837824,20,0.010079342696599401,20,0.2502274795268426,0.25022747952684266,0.2502274795268426,20,5.695323946259567e-17,demo
0.9387421785314926,0.9357034943809035,0.9327253561507902,20,0.001490231474934819,0.8364864460350896,0.8242764824401361,0.818293461057682,20,0.004305038714342922,0.10600466918426958,0.09862780076233583,0.09445740338173499,20,0.002938338392268993,STTC,0.10322316372995367,0.08210202020889411,0.07110091385319106,20,0.006992040307904013,20,0.2370336669699727,0.23703366696997272,0.2370336669699727,20,2.8476619731297836e-17,demo
0.9212951556044123,0.9168923064895191,0.9131548273378567,20,0.002264071207206857,0.8348488935884573,0.8290482653704119,0.8241280830407526,20,0.0030081427185809366,0.10145556462735746,0.09638445859630916,0.08913613294448378,20,0.0032498053106584128,CD,0.08833151476758183,0.07612671709083439,0.05705014023694092,20,0.008177200248447177,20,0.2256596906278435,0.22565969062784347,0.2256596906278435,20,2.8476619731297836e-17,demo
0.917564349252413,0.910845431676235,0.9068927039303514,20,0.0024313180208546657,0.6933155358820331,0.685335952125058,0.6709965402775206,20,0.007011197079562598,0.09807574686940981,0.08900281123650576,0.08082920955995472,20,0.004615072064656221,HYP,0.1071606438018742,0.08939215599214428,0.07102054971630853,20,0.009596476779853928,20,0.1191992720655141,0.1191992720655141,0.1191992720655141,20,0.0,demo
0.9523217341220291,0.9497070768221777,0.9477013886261303,20,0.0013232347707087396,0.9337284381876673,0.9287216272324075,0.9217236150228834,20,0.0031628608561566083,0.1065943849751575,0.09978903354760557,0.09275453784719707,20,0.0033638542888431372,NORM,0.09072649125036511,0.07168671271693879,0.03906829831281798,20,0.011408312029774164,20,0.4381255686988171,0.4381255686988171,0.4381255686988171,20,0.0,demo+anthro
0.9344240953221535,0.9302882557369816,0.9231807149161517,20,0.002855003749324346,0.8465788418219093,0.8369285048243056,0.8171290373821669,20,0.007040989740706553,0.11105706280483588,0.10135756788533554,0.09527265475392176,20,0.004401941268780799,MI,0.0909674489019122,0.06667575633166792,0.046906664570314505,20,0.013291300468242461,20,0.2502274795268426,0.25022747952684266,0.2502274795268426,20,5.695323946259567e-17,demo+anthro
0.9407016230655922,0.9373024675037799,0.9344410146534862,20,0.0014852890954847255,0.8363620839987973,0.8291919327177002,0.8221932060971812,20,0.003917575059290663,0.1036780675717224,0.0956433533318552,0.08955381531016837,20,0.0031639945025268737,STTC,0.09609252626698842,0.07748088059162622,0.06622041164783192,20,0.007175458005059582,20,0.2370336669699727,0.23703366696997272,0.2370336669699727,20,2.8476619731297836e-17,demo+anthro
0.9207846082407792,0.9176670709980668,0.9136014082104545,20,0.0019969140851965102,0.8352081964795632,0.8289260816928039,0.8204170860347121,20,0.00459542191319002,0.10435627704946508,0.09613534026080019,0.08991562974342464,20,0.0039176463325883695,CD,0.09384011704093556,0.07529298877845922,0.05979929702627425,20,0.008209870481005584,20,0.2256596906278435,0.22565969062784347,0.2256596906278435,20,2.8476619731297836e-17,demo+anthro
0.9150546495489245,0.9097059136647531,0.9016938994385212,20,0.0037180012173079558,0.6939870711097554,0.6852189440035419,0.6708374950201947,20,0.00557143324623603,0.09417598071040437,0.08759139488165453,0.08191381719190678,20,0.003639905509877298,HYP,0.10208609865546969,0.08575245792933779,0.0737964135034926,20,0.0069144773076896,20,0.1191992720655141,0.1191992720655141,0.1191992720655141,20,0.0,demo+anthro
