n_runs,sex_auc_gap_max,sex_auc_gap_mean,sex_auc_gap_min,sex_auc_gap_n,sex_auc_gap_std,variant
20,0.01813300382928318,0.016694843666803044,0.01432850606306868,20,0.0011860972248527969,none
20,0.019915947298520642,0.016343418258478553,0.01224528531210023,20,0.0019461894801390664,demo
20,0.01823851467707638,0.01602088951600341,0.013343863075129248,20,0.0012947008513562413,demo+anthro
